date,name,category,champ,infos,club,dept
2 décembre,PENCRAN,Toutes caté,No champ for now,https://velopressecollection.ouest-france.fr/actualites/23964-pencran-2-decembre-2023-infos-pratiques.html,EC Landerneau,29
3 décembre,LOCMINÉ,No category for now,Coupe Du Conseil Dép du Morbihan M3,https://velopressecollection.ouest-france.fr/cyclo-cross/calendrier/23751-coupe-du-conseil-du-morbihan-cyclo-cross-2023-2024-calendrier.html,OC Locminé,56
3 décembre,"REDON
			La Ruche",No category for now,No champ for now,No infos for now,Redon OC,35
9 décembre,SCAËR,Toutes caté,Challenge De Cornouaille Sud M5,https://velopressecollection.ouest-france.fr/actualites/23963-scaer-9-decembre-2023-infos-pratiques.html,Vélo Sport Scaërois ,29
10 décembre,SEGLIEN,No category for now,Coupe Du Conseil Dép du Morbihan M4,https://velopressecollection.ouest-france.fr/cyclo-cross/calendrier/23751-coupe-du-conseil-du-morbihan-cyclo-cross-2023-2024-calendrier.html,UC Inguiniel,56
10 décembre,SEGLIEN,Toutes caté,No champ for now,https://velopressecollection.ouest-france.fr/actualites/23962-seglien-10-decembre-2023-infos-pratiques.html,"Comité Des Fêtes de Séglien
			UC Inguiniel ",56
10 décembre,ST MAUGAN,Toutes caté,No champ for now,No infos for now,No club for now,35
17 décembre,CRUGUEL,HF U15 à seniors,Championnat de Bretagne,https://velopressecollection.ouest-france.fr/actualites/23773-cruguel-championnat-de-bretagne-17-decembre-2023-guide-technique.html,No club for now,56
23 décembre,"
BRÉLÉVÉNEZ LANNION
","Toutes caté
			avec nocturne pour les elites, U19h et femmes.",No champ for now,https://velopressecollection.ouest-france.fr/actualites/23365-brelevenez-lannion-cyclo-cross-23-decembre-2023-infos-pratiques.html,"La Roue Tourne
			Hermine Cycliste Du Trégor ",22
30 décembre,LA CHAPELLE NEUVE,No category for now,Coupe Du Conseil Dép du Morbihan M5,https://velopressecollection.ouest-france.fr/cyclo-cross/calendrier/23751-coupe-du-conseil-du-morbihan-cyclo-cross-2023-2024-calendrier.html,No club for now,56
19 novembre,CHÂTELAUDREN,Toutes caté,Coupe de Bretagne M2,https://velopressecollection.ouest-france.fr/actualites/23800-chatelaudren-19-novembre-2023-infos-pratiques.html,VCP Guingamp,22
26 novembre,BRANDIVY,Toutes caté,Championnat du Morbihan ,https://velopressecollection.ouest-france.fr/actualites/23670-brandivy-26-novembre-2023-infos-pratiques.html,EC Pluvignoise ,56
26 novembre,FOUGERES,Toutes caté,Championnat d'Ille Et Vilaine,https://velopressecollection.ouest-france.fr/actualites/23794-fougeres-26-novembre-2023-infos-pratiques.html,"
Complexe Cycliste Fougères
COC Fougerais 
",35
26 novembre,ST DONAN,Toutes caté,Championnat des Côtes D’Armor,https://velopressecollection.ouest-france.fr/actualites/23847-st-donan-26-novembre-2023-infos-pratiques.html,St Donan cyclisme ,22
26 novembre,"PLEYBER CHRIST
			 Souvenir Yann Déniel ",U15 à seniors,Championnat du Finistère,https://velopressecollection.ouest-france.fr/actualites/23860-pleyber-christ-26-novembre-2023-infos-pratiques.html,Team Yann TBFO,29
13 et 14 janvier,CAMORS,No cat for now,Championnats de France ,https://velopressecollection.ouest-france.fr/actualites/23845-camors-13-et-14-janvier-2024-infos-pratiques.html,No club for now,56
21 janvier,GRAND-CHAMP,No cat for now,Coupe de Bretagne M4,https://velopressecollection.ouest-france.fr/cyclo-cross/classements/23648-coupe-de-bretagne-de-cyclo-cross-2023-2024-classement.html,No club for now,56
28 janvier,IFFENDIC,No cat for now,Challenge Des Sous-Bois M6,https://velopressecollection.ouest-france.fr/cyclo-cross/classements/23411-challenge-des-sous-bois-de-cyclo-cross-2023-2024-classement.html,No club for now,35
4 février,VERN-SUR-SEICHE,No cat for now,Challenge Des Sous-Bois M7,https://velopressecollection.ouest-france.fr/cyclo-cross/classements/23411-challenge-des-sous-bois-de-cyclo-cross-2023-2024-classement.html,No club for now,35
